kingdom,phylum,class,order,family,genus,species,commonname
Animalia,Arthropoda,Branchiopoda,Diplostraca,Daphniidae,Daphnia,pulicaria,Daphnia
Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,melanogaster,Fruit fly
Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,mellifera,Honey bee
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Cardiocondyla,obscurior,Cardiocondyla obscurior
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,niger,Black garden ant
Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Bicyclus,anynana,Squinting bush brown
Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,americanus,American lobster
Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,bombina,Firebelly toad
Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,orientalis,Oriental firebelly toad
Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,variegata,Yellow-bellied toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,americanus,American toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,boreas,Western toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,canorus,Yosemite toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,cognatus,Great plains toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,debilis,Green toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,hemiophrys,Canadian toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,punctatus,Red-spotted toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,retiformis,Sonoran green toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,terrestris,Southern toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Atelopus,varius,Veragoa stubfoot toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Bufo,bufo,Common European toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,alvarius,Colorado river toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophrynoides,asperginis,Kihansi spray toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,lemur,Ridge-headed toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Peltophryne,peltocephala,Cuban toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Pseudepidalea,viridis,European green toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhaebo,blombergi,Colombian giant toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,arenarum,Argentine toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,marina,Cane toad
Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,schneideri,Eurura toad
Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,aurita,Common horned frog
Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,calcarata,Colombian horned frog
Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,cornuta,Amazonian horned frog
Animalia,Chordata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,Ornate horned frog
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,auratus,Green and black dart-poison frog
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,leucomelas,Yellow-banded poison frog
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,tinctorius,Blue poison-dart frog
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,histrionica,Kokoe-pa poison dart frog
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Oophaga,pumilio,Strawberry poison frog
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Phyllobates,vittatus,Golfo dulce poison-dart frog
Animalia,Chordata,Amphibia,Anura,Dicroglossidae,Hoplobatrachus,occipitalis,African tigrine frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,blanchardi,Blanchard's cricket frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Acris,crepitans,Northern cricket frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,callidryas,Red-eyed tree frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Agalychnis,spurrelli,Maroon-eyed tree frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Diaglena,spatulata,Treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,arborea,European tree frog
Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,chrysoscelis,Cope's gray treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,cinerea,Green treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,gratiosa,Barking treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,japonica,Japanese treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,squirella,Squirrel treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Hyla,versicolor,Gray treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Hypsiboas,rosenbergi,Rosenberg's treefrog
Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,caerulea,Australian green treefrog
