county,category,taxonomic_group,taxonomic_subgroup,scientific_name,common_name
Albany,Animal,Amphibians,Salamanders,Pseudotriton ruber,Red Salamander
Albany,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog
Albany,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog
Albany,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog
Albany,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt
Albany,Animal,Amphibians,Salamanders,Hemidactylium scutatum,Four-toed Salamander
Albany,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog
Albany,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander
Albany,Animal,Amphibians,Salamanders,Gyrinophilus porphyriticus,Spring Salamander
Albany,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrus fowleri,Fowler's Toad
Albany,Animal,Amphibians,Salamanders,Eurycea bislineata,Northern Two-lined Salamander
Albany,Animal,Amphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander
Albany,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander
Albany,Animal,Amphibians,Salamanders,Ambystoma tigrinum,Tiger Salamander
Albany,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander
Albany,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad
Albany,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex
Albany,Animal,Amphibians,Frogs and Toads,Scaphiopus holbrookii,Eastern Spadefoot
Albany,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper
Albany,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,Wood Frog
Albany,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog
Albany,Animal,Animal Assemblages,Animal Assemblages,Bat Colony,Bat Colony
Albany,Animal,Animal Assemblages,Animal Assemblages,Anadromous Fish Concentration Area,Anadromous Fish Concentration Area
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Thoracobombus) pensylvanicus,American Bumble Bee
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Bombus) terricola,Yellowbanded Bumble Bee
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Bombus) affinis,Rusty-patched Bumble Bee
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron
Albany,Animal,Birds,Flycatchers,Myiarchus crinitus,Great Crested Flycatcher
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Colinus virginianus,Northern Bobwhite
Albany,Animal,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher
Albany,Animal,Birds,Flycatchers,Empidonax minimus,Least Flycatcher
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern
Albany,Animal,Birds,Flycatchers,Empidonax alnorum,Alder Flycatcher
Albany,Animal,Birds,Flycatchers,Contopus virens,Eastern Wood-Pewee
Albany,Animal,Birds,Finches and Crossbills,Spinus tristis,American Goldfinch
Albany,Animal,Birds,Finches and Crossbills,Spinus pinus,Pine Siskin
Albany,Animal,Birds,Finches and Crossbills,Loxia leucoptera,White-winged Crossbill
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle
Albany,Animal,Birds,Finches and Crossbills,Loxia curvirostra,Red Crossbill
Albany,Animal,Birds,Finches and Crossbills,Haemorhous purpureus,Purple Finch
Albany,Animal,Birds,Finches and Crossbills,Haemorhous mexicanus,House Finch
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Lophodytes cucullatus,Hooded Merganser
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Branta canadensis,Canada Goose
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas rubripes,American Black Duck
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos x rubripes,Mallard x Am. Black Duck Hybrid
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas platyrhynchos,Mallard
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Anas discors,Blue-winged Teal
Albany,Animal,Birds,"Ducks, Geese, Waterfowl",Aix sponsa,Wood Duck
Albany,Animal,Birds,Cuckoos,Coccyzus erythropthalmus,Black-billed Cuckoo
Albany,Animal,Birds,Cuckoos,Coccyzus americanus,Yellow-billed Cuckoo
Albany,Animal,Birds,Wood-Warblers,Helmitheros vermivorum,Worm-eating Warbler
Albany,Animal,Birds,Crows and Jays,Cyanocitta cristata,Blue Jay
Albany,Animal,Birds,Crows and Jays,Corvus ossifragus,Fish Crow
Albany,Animal,Birds,Crows and Jays,Corvus corax,Common Raven
Albany,Animal,Birds,Cormorants,Phalacrocorax auritus,Double-crested Cormorant
