county,category,taxonomic_group,taxonomic_subgroup,scientific_name,common_name,ny_listing_status,federal_listing_status
Albany,Animal,Amphibians,Salamanders,Pseudotriton ruber,Red Salamander,Game with no open season,not listed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates palustris,Pickerel Frog,Game with open season,not listed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates clamitans,Green Frog,Game with open season,not listed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates catesbeianus,Bullfrog,Game with open season,not listed
Albany,Animal,Amphibians,Salamanders,Notophthalmus viridescens,Eastern Newt,Game with no open season,not listed
Albany,Animal,Amphibians,Salamanders,Hemidactylium scutatum,Four-toed Salamander,Game with no open season,not listed
Albany,Animal,Amphibians,Frogs and Toads,Hyla versicolor,Gray Treefrog,Game with open season,not listed
Albany,Animal,Amphibians,Salamanders,Plethodon glutinosus,Northern Slimy Salamander,Game with no open season,not listed
Albany,Animal,Amphibians,Salamanders,Gyrinophilus porphyriticus,Spring Salamander,Game with no open season,not listed
Albany,Animal,Amphibians,Salamanders,Plethodon cinereus,Redback Salamander,Game with no open season,not listed
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrus fowleri,Fowler's Toad,Game with open season,not listed
Albany,Animal,Amphibians,Salamanders,Eurycea bislineata,Northern Two-lined Salamander,Game with no open season,not listed
Albany,Animal,Amphibians,Salamanders,Desmognathus ochrophaeus,Allegheny Mountain Dusky Salamander,Game with no open season,not listed
Albany,Animal,Amphibians,Salamanders,Desmognathus fuscus,Dusky Salamander,Game with no open season,not listed
Albany,Animal,Amphibians,Salamanders,Ambystoma tigrinum,Tiger Salamander,Endangered,not listed
Albany,Animal,Amphibians,Salamanders,Ambystoma maculatum,Spotted Salamander,Game with no open season,not listed
Albany,Animal,Amphibians,Salamanders,Ambystoma laterale,Blue-spotted Salamander,Special Concern,not listed
Albany,Animal,Amphibians,Frogs and Toads,Anaxyrus americanus,American Toad,Game with open season,not listed
Albany,Animal,Amphibians,Salamanders,Ambystoma jeffersonianum x laterale,Jefferson Salamander Complex,Game with no open season,not listed
Albany,Animal,Amphibians,Frogs and Toads,Scaphiopus holbrookii,Eastern Spadefoot,Special Concern,not listed
Albany,Animal,Amphibians,Frogs and Toads,Pseudacris crucifer,Spring Peeper,Game with open season,not listed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates sylvaticus,Wood Frog,Game with open season,not listed
Albany,Animal,Amphibians,Frogs and Toads,Lithobates pipiens,Northern Leopard Frog,Game with open season,not listed
Albany,Animal,Animal Assemblages,Animal Assemblages,Bat Colony,Bat Colony,not applicable,not applicable
Albany,Animal,Animal Assemblages,Animal Assemblages,Anadromous Fish Concentration Area,Anadromous Fish Concentration Area,not applicable,not applicable
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Thoracobombus) pensylvanicus,American Bumble Bee,not listed,not listed
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Bombus) terricola,Yellowbanded Bumble Bee,not listed,not listed
Albany,Animal,"Bees, Wasps, and Ants",Bees,Bombus (Bombus) affinis,Rusty-patched Bumble Bee,not listed,not listed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Nycticorax nycticorax,Black-crowned Night-Heron,Protected Bird,not listed
Albany,Animal,Birds,Flycatchers,Myiarchus crinitus,Great Crested Flycatcher,Protected Bird,not listed
Albany,Animal,Birds,"Grouse, Pheasants, Turkeys",Colinus virginianus,Northern Bobwhite,Protected Bird - Game with open season,not listed
Albany,Animal,Birds,Flycatchers,Empidonax traillii,Willow Flycatcher,Protected Bird,not listed
